class_child,class_parent,year,param,down_err,up_err,signif,signif01,signif001
Young,Young,2016,0.1005503482324044,0.032293717322758916,0.032293717322758916,True,True,True
Young,Old,2016,-0.10033104552726355,0.02648129710980479,0.026481297109804777,True,True,True
Young,Male,2016,0.023231514023433642,0.028312903308217962,0.028312903308217962,True,True,False
Young,Female,2016,0.001474148902366668,0.027124933100714142,0.027124933100714142,False,False,False
Young,Poor,2016,-0.0029231231784341396,0.02800766113214146,0.02800766113214146,False,False,False
Young,Rich,2016,0.007962805363092292,0.028339959552378457,0.028339959552378457,False,False,False
Young,Left,2016,-0.018353124666619286,0.027541402677666457,0.02754140267766646,True,False,False
Young,Right,2016,-0.0024915110346145812,0.027791494741947705,0.027791494741947705,False,False,False
Old,Young,2016,-0.12015689234088905,0.030263925167635514,0.030263925167635514,True,True,True
Old,Old,2016,0.14793475452757926,0.023557280814015147,0.023557280814015147,True,True,True
Old,Male,2016,-0.02138244615284411,0.02593484379586922,0.025934843795869224,True,True,False
Old,Female,2016,-0.02729276642465674,0.02451293154238669,0.02451293154238669,True,True,True
Old,Poor,2016,0.007871562744999134,0.025658791893583197,0.025658791893583197,False,False,False
Old,Rich,2016,-0.04578458382052559,0.02542341082940177,0.025423410829401773,True,True,True
Old,Left,2016,0.014048313451466109,0.024845760301795552,0.024845760301795555,False,False,False
Old,Right,2016,-0.012711422071666307,0.02543066910104022,0.025430669101040217,False,False,False
Male,Young,2016,0.007805635303322717,0.028954661386636472,0.028954661386636476,False,False,False
Male,Old,2016,-0.03592023811945741,0.0232663680420601,0.023266368042060098,True,True,True
Male,Male,2016,0.05061231307968265,0.025036267195430763,0.025036267195430763,True,True,True
Male,Female,2016,-0.01415611670800992,0.024070764979093114,0.02407076497909311,False,False,False
Male,Poor,2016,-0.010639902117545057,0.02495450372992617,0.024954503729926174,False,False,False
Male,Rich,2016,0.011702647538025624,0.024929356935852916,0.02492935693585292,False,False,False
Male,Left,2016,-0.0015859829447174758,0.024321366038415698,0.024321366038415705,False,False,False
Male,Right,2016,0.0051613309105852,0.02471935139425574,0.02471935139425574,False,False,False
Female,Young,2016,-0.02313020049473605,0.029832072337106507,0.029832072337106507,True,False,False
Female,Old,2016,0.018865427912513028,0.023578969499805785,0.023578969499805785,True,True,False
Female,Male,2016,-0.02677289316170047,0.025818674421098746,0.02581867442109875,True,True,True
